captured_at,rth,symbol,underlying,expiry,tenor,strike,type,spot,bid,ask,bid_sz,ask_sz,mid,spread,spread_pct,moneyness,quote_t
2026-08-26T19:46:16.773519+00:00,True,NVDA260925C00215000,NVDA,2026-09-25,30dte,215.0,call,209.6,7.81,7.94,337,333,7.875,0.13,0.016508,1.0258,2026-08-26T19:46:16.138061357Z
2026-08-26T19:46:16.773519+00:00,True,INTC260925P00089000,INTC,2026-09-25,30dte,89.0,put,87.655,6.34,6.67,7,294,6.505,0.33,0.05073,1.0153,2026-08-26T19:46:15.880183547Z
2026-08-26T19:46:16.773519+00:00,True,GOOGL260925P00340000,GOOGL,2026-09-25,30dte,340.0,put,342.29,9.2,9.94,3,325,9.57,0.74,0.077325,0.9933,2026-08-26T19:46:15.149467548Z
2026-08-26T19:46:16.773519+00:00,True,MSFT260925C00500000,MSFT,2026-09-25,30dte,500.0,call,496.57,13.12,13.64,39,75,13.379999999999999,0.52,0.038864,1.0069,2026-08-26T19:46:16.577271588Z
2026-08-26T19:46:16.773519+00:00,True,AMZN260925C00265000,AMZN,2026-09-25,30dte,265.0,call,260.28,6.58,6.79,173,12,6.6850000000000005,0.21,0.031414,1.0181,2026-08-26T19:46:15.208265092Z
2026-08-26T19:46:16.773519+00:00,True,NVDA260925P00215000,NVDA,2026-09-25,30dte,215.0,put,209.6,12.55,12.7,222,304,12.625,0.15,0.011881,1.0258,2026-08-26T19:46:16.132389949Z
2026-08-26T19:46:16.773519+00:00,True,META260925C00570000,META,2026-09-25,30dte,570.0,call,576.26,27.14,28.48,288,162,27.810000000000002,1.34,0.048184,0.9891,2026-08-26T19:46:15.950417464Z
2026-08-26T19:46:16.773519+00:00,True,GOOGL260925C00340000,GOOGL,2026-09-25,30dte,340.0,call,342.29,12.18,13.05,278,105,12.615,0.87,0.068966,0.9933,2026-08-26T19:46:14.056432459Z
2026-08-26T19:46:16.773519+00:00,True,MSFT260925P00495000,MSFT,2026-09-25,30dte,495.0,put,496.57,12.29,12.94,40,82,12.614999999999998,0.65,0.051526,0.9968,2026-08-26T19:46:15.550552225Z
2026-08-26T19:46:16.773519+00:00,True,INTC260925C00089000,INTC,2026-09-25,30dte,89.0,call,87.655,5.51,5.57,90,14,5.54,0.06,0.01083,1.0153,2026-08-26T19:46:14.554607675Z
